scenario,op,latency_ns
burst,post,3600
burst,post,3600
burst,post,3600
burst,post,3800
burst,post,3600
burst,post,3700
burst,post,3800
burst,post,3700
burst,post,3800
burst,post,3600
burst,add_limit,4700
burst,add_limit,3500
burst,add_limit,3400
burst,add_market,3800
burst,add_market,3800
burst,modify,3500
burst,post,4200
burst,post,4100
burst,post,3800
burst,post,3800
burst,post,3700
burst,post,4700
burst,post,3700
burst,post,3700
burst,post,3800
burst,post,5200
burst,post,4100
burst,post,3800
burst,post,3900
burst,post,3700
burst,add_limit,5800
burst,add_limit,3800
burst,add_limit,4300
burst,add_market,3800
burst,add_market,4000
burst,modify,3700
burst,post,3800
burst,post,3900
burst,post,3700
burst,post,3700
burst,post,3800
burst,post,4000
burst,post,3800
burst,post,3900
burst,post,3800
burst,post,3800
burst,post,3800
burst,post,3700
burst,post,3900
burst,post,3900
burst,add_limit,14000
burst,add_limit,9100
burst,add_limit,5000
burst,add_market,3800
burst,add_market,4000
burst,modify,3600
burst,post,3900
burst,post,4100
burst,post,4200
burst,post,4000
burst,post,4000
burst,post,4300
burst,post,4200
burst,post,4100
burst,post,4100
burst,post,4000
burst,post,3900
burst,post,4100
burst,post,4400
burst,post,9200
burst,add_limit,3800
burst,add_limit,5500
burst,add_limit,4900
burst,add_market,4900
burst,add_market,4700
burst,modify,3900
burst,post,4200
burst,post,3900
burst,post,3800
burst,post,3900
burst,post,3900
burst,post,4100
burst,post,3900
burst,post,4000
burst,post,4500
burst,post,4200
burst,post,4200
burst,post,4200
burst,post,4500
burst,post,4300
burst,add_limit,5400
burst,add_limit,8900
burst,add_limit,8600
burst,add_market,4000
burst,add_market,4900
burst,modify,200
burst,post,4100
burst,post,4100
burst,post,4300
burst,post,4100
burst,post,4600
burst,post,4400
burst,post,4200
burst,post,6500
burst,post,4200
burst,post,4100
burst,post,4400
burst,post,4100
burst,post,4100
burst,post,4400
burst,add_limit,4400
burst,add_limit,3900
burst,add_limit,5000
burst,add_market,5300
burst,add_market,5900
burst,modify,4100
burst,post,4100
burst,post,4000
burst,post,4000
burst,post,4000
burst,post,4100
burst,post,4000
burst,post,4100
burst,post,4100
burst,post,4100
burst,post,4100
burst,post,4300
burst,post,4200
burst,post,4100
burst,post,4200
burst,add_limit,3900
burst,add_limit,5500
burst,add_limit,4000
burst,add_market,5200
burst,add_market,3900
burst,modify,4000
burst,post,4100
burst,post,5000
burst,post,4300
burst,post,4200
burst,post,4100
burst,post,4200
burst,post,4300
burst,post,4300
burst,post,4200
burst,post,4200
burst,post,4500
burst,post,4300
burst,post,10800
burst,post,4400
burst,add_limit,6100
burst,add_limit,4700
burst,add_limit,4000
burst,add_market,4600
burst,add_market,4900
burst,modify,4100
burst,post,4200
burst,post,4300
burst,post,4300
burst,post,4200
burst,post,4400
burst,post,4300
burst,post,4400
burst,post,4400
burst,post,6000
burst,post,4400
burst,post,4600
burst,post,4300
burst,post,4400
burst,post,4500
burst,add_limit,4400
burst,add_limit,4900
burst,add_limit,8400
burst,add_market,4200
burst,add_market,5400
burst,modify,4500
burst,post,5300
burst,post,4500
burst,post,4400
burst,post,4400
burst,post,4500
burst,post,4600
burst,post,4600
burst,post,4400
burst,post,4400
burst,post,4400
burst,post,4500
burst,post,4600
burst,post,4500
burst,post,4500
burst,add_limit,5100
burst,add_limit,5000
burst,add_limit,4300
burst,add_market,4400
burst,add_market,5800
burst,modify,4300
burst,post,4700
burst,post,4700
burst,post,4800
burst,post,4700
burst,post,4800
burst,post,4500
burst,post,6200
burst,post,4700
burst,post,4700
burst,post,4600
burst,post,4600
burst,post,4600
burst,post,4700
burst,post,4500
burst,add_limit,5200
burst,add_limit,4300
burst,add_limit,4800
burst,add_market,5100
burst,add_market,4400
burst,modify,100
burst,post,4600
burst,post,4600
burst,post,4700
burst,post,4600
burst,post,4700
burst,post,4600
burst,post,4600
burst,post,4700
burst,post,4600
burst,post,4700
burst,post,4600
burst,post,4600
burst,post,4600
burst,post,4800
burst,add_limit,6100
burst,add_limit,4400
burst,add_limit,4400
burst,add_market,5300
burst,add_market,4800
burst,modify,4600
burst,post,4700
burst,post,4600
burst,post,4700
burst,post,4700
burst,post,4600
burst,post,4600
burst,post,4600
burst,post,4700
burst,post,4700
burst,post,4700
burst,post,4900
burst,post,4800
burst,post,4900
burst,post,4800
burst,add_limit,5000
burst,add_limit,4600
burst,add_limit,4600
burst,add_market,5500
burst,add_market,4600
burst,modify,200
burst,post,4900
burst,post,4700
burst,post,4800
burst,post,4900
burst,post,4700
burst,post,4800
burst,post,5800
burst,post,5200
burst,post,4900
burst,post,4800
burst,post,5000
burst,post,5000
burst,post,5000
burst,post,5200
burst,add_limit,5400
burst,add_limit,5000
burst,add_limit,5000
burst,add_market,5100
burst,add_market,5000
burst,modify,5200
burst,post,5100
burst,post,4900
burst,post,4700
burst,post,5000
burst,post,4900
burst,post,6200
burst,post,4900
burst,post,5100
burst,post,5000
burst,post,4900
burst,post,5000
burst,post,5200
burst,post,5100
burst,post,4900
burst,add_limit,5500
burst,add_limit,5700
burst,add_limit,5900
burst,add_market,5200
burst,add_market,6900
burst,modify,200
burst,post,5900
burst,post,4900
burst,post,4900
burst,post,5100
burst,post,5000
burst,post,5000
burst,post,4900
burst,post,5300
burst,post,5000
burst,post,4900
burst,post,5000
burst,post,5000
burst,post,5200
burst,post,5000
